Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1695945016.378125,874,85817,0,GPS1_Frame,42.33824833333333,-71.08556833333333,17.7,328192.33455636096,4689439.138693234,19,T
1695945017.3792434,875,85818,0,GPS1_Frame,42.33824833333333,-71.08556833333333,17.7,328192.33455636096,4689439.138693234,19,T
1695945018.3805995,876,85819,0,GPS1_Frame,42.33824833333333,-71.08556666666667,17.6,328192.4718609237,4689439.135325629,19,T
1695945019.3795772,877,85820,0,GPS1_Frame,42.33824833333333,-71.08556666666667,17.6,328192.4718609237,4689439.135325629,19,T
1695945020.3789005,878,85821,0,GPS1_Frame,42.33824833333333,-71.08556666666667,17.6,328192.4718609237,4689439.135325629,19,T
1695945021.378682,879,85822,0,GPS1_Frame,42.33824833333333,-71.08556666666667,17.6,328192.4718609237,4689439.135325629,19,T
1695945022.3807971,880,85823,0,GPS1_Frame,42.33825,-71.08556666666667,17.6,328192.47640006297,4689439.320396252,19,T
1695945023.3799913,881,85824,0,GPS1_Frame,42.33825,-71.08556666666667,17.6,328192.47640006297,4689439.320396252,19,T
1695945024.3802192,882,85825,0,GPS1_Frame,42.33825,-71.08556666666667,17.6,328192.47640006297,4689439.320396252,19,T
1695945025.3793178,883,85826,0,GPS1_Frame,42.33825,-71.08556666666667,17.6,328192.47640006297,4689439.320396252,19,T
1695945026.3799372,884,85827,0,GPS1_Frame,42.33825,-71.08556666666667,17.6,328192.47640006297,4689439.320396252,19,T
1695945027.4176202,885,85828,0,GPS1_Frame,42.33825,-71.08556666666667,17.6,328192.47640006297,4689439.320396252,19,T
1695945028.4170308,886,85829,0,GPS1_Frame,42.33825,-71.08556666666667,17.6,328192.47640006297,4689439.320396252,19,T
1695945029.378807,887,85830,0,GPS1_Frame,42.33825,-71.08556666666667,17.5,328192.47640006297,4689439.320396252,19,T
1695945030.4185238,888,85831,0,GPS1_Frame,42.33825,-71.08556666666667,17.5,328192.47640006297,4689439.320396252,19,T
1695945031.3802793,889,85832,0,GPS1_Frame,42.33825,-71.08556666666667,17.5,328192.47640006297,4689439.320396252,19,T
1695945032.3769598,890,85833,0,GPS1_Frame,42.33826166666667,-71.08555666666666,16.9,328193.33200124966,4689440.595685042,19,T
1695945033.3761976,891,85834,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945034.4193835,892,85835,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945035.3794093,893,85836,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
